Please enter the number of the paper you are grading.	Intent: Shuffle cards per instructions (Check all that apply)	Intent: Identify original shuffle method as more efficient (Check all that apply)	Number of Syntax Errors (Enter as number)	Any other comments on Question 1	Intent: Find and return length of longest word in wordList	"Intent: Create two words, combine and test for dictionary addition, then add"	Intent: Create signature capable of accepting data to specify characters to reveal	Number of Syntax Errors (Enter as number)	Any other comments on Question 2
1	"+ .5 Use loop, controlled by size, + 1 Access random number as integer"		4	Used array instead of arraylist	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"			0	
1	"+ .5 Use loop, controlled by size, + 1 Access random number as integer"		1		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"				
2	"+ .5 Set size to size of card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	+ .5 New shuffle removes card from the list cards each iteration	1		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Access second worth through get method, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	+ 1 return compoundWords	2	
2	"+ .5 Set size to size of card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	"+ 1 Original shuffle method is more efficient, + .5 Original method makes 1 swap per loop iteration, + .5 New shuffle removes card from the list cards each iteration"	0	litty city	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Access second worth through get method, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	+ 1 return compoundWords	0	
3	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"		0		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ .5 Access first word through get method, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	7	
3	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	"+ .5 New shuffle removes card from the list cards each iteration, + .5 In new shuffle, removing a card from cards list requires shifting higher index elements in cards list to a lower index position and occurs size times."	0	"The answer to (b) should be the method in part (a) due to, as explained in this response, the original method can have just one card moved throughout the entire loop or possibly have a change in card placements where, at the end, the changes are all canceled out and the deck isn't shuffled at all."	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ .5 Access first word through get method, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	3	"(b) For loop went to wordsList/2 (not a variable as it has an 's')
(c) Starts at 0, not 3"
4	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	"+ .5 Original method makes 1 swap per loop iteration, + .5 In new shuffle, removing a card from cards list requires shifting higher index elements in cards list to a lower index position and occurs size times."	0		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	0	
4	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	"+ .5 New shuffle removes card from the list cards each iteration, + .5 In new shuffle, removing a card from cards list requires shifting higher index elements in cards list to a lower index position and occurs size times."	0	"nailed part a. Part B fell through, had the wrong option. Explanation is strong, just the wrong stance."	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	0	Nailed a and c. Part B messed up at one spot but overall very good.
5	"+ .5 Set size to size of card, + .5 Use loop, controlled by size, + 1 Use add method with parameters of cards.remove(ranNum)"		1	Didn't need to declare size	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Access second worth through get method"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength"	4	All of the loops had out of bounds errors because they were <= instead of just <
5	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum)"		1	<=' in for loop	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 find numLetters in two new words, + .5 Either word1 = w1 + w2 and word2 = w2 + w1"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	0	
